"waterbody","date","year","town","latitude","longitude","state","data_source","mult_survey","surfacearea_ha","shoreline_development","depth_max_m","FP_presence","FPcover_avg","FPcover_low_est","FPcover_max","FPcover_min","azolla","eichhornia_crassipes","lemna_minor","lemna_trisulca","lemna_valdiviana","riccia","spirodela_polyrhiza","wolffia","wolffia_borealis","wolffia_brasiliensis","allplant_species_richness","FP_species_richness","nonFP_species_richness","TOTP_n","TOTP_avg","TOTP_SE","PH_n","PH_avg","PH_SE","COND_n","COND_avg","COND_SE","DO_n","DO_avg","DO_SE","TEMP_n","TEMP_avg","TEMP_SE","ALK_n","ALK_avg","ALK_SE","secchi_n","secchi_avg","secchi_SE","alisma","alisma_subcordatum","brasenia","cabomba","callitriche","callitriche_verna","callitriche_hetero","callitriche_stag","cardamine","ceratophyllum_dem","ceratophyllum_echin","charphyte","decodon","egeria","elatine","elatine_ameri","elatine_minima","elatine_triandra","eleocharis","eleocharis_acic","eleocharis_ellip","ellocharis_parv","elodea_canad","elodea_nutt","eriocaulon_aqua","fil_algae","glossostigma","gratiola","hydrilla","isoetes","isoetes_acad","isoetes_eaton","isoetes_echino","isoetes_engel","isoetes_lacus","isoetes_tuck","juncus","juncus_pelo","lobelia","ludwigia","ludwigia_dub","ludwigia_lac","ludwigia_pal","marsilea","megalodonta","myosotis","myriophyllum","myriophyllum_alt","myriophyllum_aqua","myriophyllum_hetero","myriophyllum_hetero_lax","myriophyllum_hum","myriophyllum_ten","myriophyllum_sibi","myriophyllum_spic","najas_flex","najas_grac","najas_guad","najas_minor","nasturtium","nelumbo","nuphar","nymphaea_odor","nymphaea_odor_odor","nymphaea_odor_tuber","nymphoides","nymphoides_cordata","nymphoides_pelt","peltandra","phragmites","polygonum","polygonum_amphi","polygonum_hydro","pontederia","potamogeton","potamogeton_ampli","potamogeton_berch","potamogeton_biculp","potamogeton_conferv","potamogeton_crispus","potamogeton_epi","potamogeton_foli","potamogeton_frie","potamogeton_grami","potamogeton_ilino","potamogeton_ilino_hybrid","potamogeton_natans","potamogeton_nodos","potamogeton_oakes","potamogeton_palus","potamogeton_perfo","potamogeton_pulch","potamogeton_pusil","potamogeton_prael","potamogeton_rich","potamogeton_robb","potamogeton_spir","potamogeton_vase","potamogeton_zost","proserpinaca","ranunculus","sagittaria","sagittaria_gram","sagittaria_lati","schoenoplectus","sparganium","sparganium_ameri","stuckenia","trapa","typha","typha_latif","sedge","utricularia","utricularia_gemi","utricularia_gibb","utricularia_inter","utricularia_macro","utricularia_mini","utricularia_mino","utricularia_purp","utricularia_radi","utricularia_subu","utricularia_vulg","vallisneria","zannichellia","zosterella"
"Bolton Lake, Lower","combined","comb","Bolton",41.8005,72.43,"CT","CAES","Y",70.82,1.387,6.096,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,2,0.0133,0.0078,2,5.9,0.05,2,103.9,28.1,2,6.95,0.75,2,31.05,0.85,2,10.325,1.325,2,3.1,0.1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"Bolton Lake, Middle","combined","comb","Vernon",41.8089,72.4262,"CT","CAES","Y",48.97,1.608,6.096,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,2,0.0292,0.0033,2,5.875,0.125,2,95.15,22.85,1,6.2,NA,1,27.6,NA,2,10.2,1.2,1,2.9,NA,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
"Bolton Lake, Upper","7/18/2005","2005","Coventry, Tolland, Vernon",41.8208,72.4215,"CT","CAES","N",20.23,1.951,2.286,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,2,0.03,0.003,2,4.8,0,2,62.05,0.85,1,0.5,NA,1,24.5,NA,2,2.25,0.75,1,0.8,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Bolton Notch Pond","10/4/2011","2011","Bolton",41.7883,72.4536,"CT","CAES","N",8.5,1.456,1.5,"Y",0.0017,0.0017,0.0017,0.0017,0,0,1,0,0,0,1,1,0,0,24,3,21,2,0.0135,5e-04,2,5.65,0.05,2,413.5,101.5,1,3,NA,1,15.1,NA,2,16.9,1.9,1,1,NA,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
"Brandegea Lake","7/7/2011","2011","Waterford",41.3719,72.122,"CT","CAES","N",11.94,1.587,3,"Y",0.0031,0.0031,0.0031,0.0031,0,0,1,0,0,0,1,0,0,0,18,2,16,2,0.074,0.004,2,6.4,0.4,2,159,10,1,7.2,NA,1,29.8,NA,2,33,13.5,1,1.5,NA,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Branford Supply Pond (East)","8/1/2005","2005","North Branford",41.2953,72.8017,"CT","CAES","Y",7.04,1.958,4,"Y",0.0281,0.0281,0.0281,0.0281,0,0,0,0,0,0,1,0,0,0,6,1,5,2,0.2015,0.1675,2,6.55,0.15,2,213,39,1,3.6,NA,1,30.9,NA,2,90.75,17.25,NA,1.5,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Broad Brook Reservoir, Lower","9/12/2012","2012","East Windsor",41.9112,72.5382,"CT","CAES","N",0.81,1.18,2,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,2,0.0366,8e-04,2,8.25,0.05,2,236,2,1,11.5,NA,1,17.8,NA,2,63.75,0.75,1,2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Broad Brook Reservoir, Upper","9/12/2012","2012","East Windsor",41.9101,72.5386,"CT","CAES","N",0.32,1.276,0.5,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0.0407,NA,1,7,NA,1,264,NA,1,12.2,NA,1,15,NA,1,68.3,NA,1,0.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bunnels Pond","7/5/2011","2011","Bridgeport",41.2074,73.1879,"CT","CAES","N",13.52,2.485,5,"Y",0.0105,0.0105,0.0105,0.0105,0,0,1,0,0,0,0,0,0,0,22,1,21,2,0.0175,0.0025,2,6.4,0.4,2,159,10,1,8.5,NA,1,24.2,NA,2,33,13.5,1,2,NA,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Burr Pond","7/25/2005","2005","Torrington",41.8718,73.0958,"CT","CAES","N",34.44,2.236,3.353,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,2,0.006,0.001,2,6,0.1,2,93.15,3.05,1,7.1,NA,1,26.5,NA,2,6.75,2.25,1,2.4,NA,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
"Bushy Pond","6/26/2012","2012","Clinton",41.3059,72.525,"CT","CAES","N",3.44,2.626,11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,2,0.0183,0.0057,2,6.3,0.1,2,79.5,20.5,1,8.6,NA,1,22,NA,2,20.25,9.75,1,1.4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"Canoe Brook Lake","8/30/2012","2012","Trumbull",41.2513,73.239,"CT","CAES","Y",25.78,2.26,6,"Y",3e-04,3e-04,3e-04,3e-04,0,0,1,0,0,0,0,0,0,0,16,1,15,2,0.0929,0.0598,2,6.95,0.55,2,162,31,1,9.7,NA,1,24,NA,2,49.5,22.5,1,2.5,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cedar Lake","combined","comb","Chester",41.4017,72.499,"CT","CAES","Y",28.04,1.274,13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34,3,0.0251,0.0043,3,6.0333,0.1202,3,37.05,2.4619,3,12.6667,5.7377,3,18.9333,5.7138,3,8.5333,2.0626,3,2.87,0.07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0
"Cedar Pond","8/26/2005","2005","North Branford",41.3206,72.7799,"CT","CAES","Y",8.82,1.281,5.3,"Y",0.001,0.001,0.001,0.001,0,0,1,0,0,0,0,0,0,0,7,1,6,2,0.0295,0.0055,2,6.65,0.05,2,291,3,1,6.5,NA,1,26.9,NA,2,93.75,0.75,1,2.3,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Chaffee Lake","7/20/2009","2009","Ashford",41.9394,72.1943,"CT","CAES","N",21.04,1.603,3.3,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,2,0.0185,0.0065,2,7.3,0.9,2,130.5,1.5,1,8.5,NA,1,26,NA,2,24.75,0.75,1,2.3,NA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Chalkers Mill Pond","7/22/2005","2005","Old Saybrook",41.3023,72.3967,"CT","CAES","N",4.17,2.115,1,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,2,0.033,0,2,5.75,0.05,2,146,7,1,1.3,NA,1,24.9,NA,2,19.88,5.625,1,0.5,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Chase Reservoir","8/8/2005","2005","Killingly",41.8468,71.838,"CT","CAES","N",28.77,1.772,3,"Y",5e-04,5e-04,5e-04,5e-04,0,0,1,0,0,0,1,0,0,1,22,3,19,2,0.0215,0.0035,2,6.25,0.05,2,67.5,0.5,1,7.3,NA,1,28.1,NA,2,10.88,0.375,1,2.7,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"Clear Lake","7/19/2006","2006","Guilford",41.3372,72.7411,"CT","CAES","N",8.09,1.53,2.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,2,0.059,0.011,2,6.2,0.2,2,199.5,26.5,1,29.6,NA,1,7.1,NA,2,28,7,1,3,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coventry Lake","7/15/2008","2008","Coventry",41.7709,72.3197,"CT","CAES","N",150.95,1.859,10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,2,0.0345,0.0185,2,6.5,0.3,2,57.5,36.5,1,8.2,NA,1,27.8,NA,2,24,8,1,3.3,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"Crescent Lake","7/27/2005","2005","Enfield",42.0252,72.5222,"CT","CAES","N",14.16,2.058,2.5,"Y",2e-04,2e-04,2e-04,2e-04,0,0,1,0,0,0,0,0,0,0,7,1,6,2,0.164,0.101,2,5.9,0.1,2,152.5,5.5,1,7.1,NA,1,32.4,NA,2,27,1.5,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake (1)","combined","comb","Middletown",41.5219,72.6388,"CT","CAES","Y",12.55,2.523,6,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,4,0.0375,0.0108,4,6.15,0.2776,4,121.1125,15.2176,4,6.1,1.8032,4,24.55,1.9632,4,29.6375,12.6501,4,1.45,0.18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake (2)","7/22/2005","2005","Old Saybrook",41.3011,72.414,"CT","CAES","N",2.23,1.969,1.2,"Y",0.093,0.093,0.093,0.093,0,0,1,0,0,0,0,0,0,0,25,1,24,2,0.0425,0.0075,2,6.1,0.1,2,101.15,4.85,1,5.4,NA,1,24.8,NA,2,30.8,1.5,1,0.6,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"Crystal Lake (3)","8/25/2005","2005","Ellington, Stafford",41.9361,72.3739,"CT","CAES","N",75.84,1.523,12,"Y",0.01,0.01,0.01,0.01,0,0,1,0,0,0,1,0,0,0,6,2,4,2,0.055,0.034,2,7.05,0.15,2,147,40,1,6.78,NA,1,25.5,NA,2,60,0.75,1,2.9,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Crystal Pond","7/16/2009","2009","Woodstock",41.9228,72.0993,"CT","CAES","N",58.68,1.82,5,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,2,0.0805,0.0715,2,6.2,0.2,2,63.55,1.85,1,9.5,NA,1,23.9,NA,2,14.65,0.35,1,2.3,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
"Cusick Pond","9/9/2009","2009","Bethany",41.3893,73.0297,"CT","CAES","N",0.08,1.081,2,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,2,0.0185,0.0045,2,6.55,0.05,2,82.5,2.5,1,10.1,NA,1,22.4,NA,2,55.15,4.85,1,2,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dayton Pond","7/8/2005","2005","Wallingford",41.4076,72.8031,"CT","CAES","Y",2.67,2.669,2,"Y",0.0037,0.0037,0.0037,0.0037,0,0,1,0,0,0,1,0,0,0,8,2,6,2,0.067,0.006,2,6.8,0,2,208,2,1,6.7,NA,1,19.3,NA,2,87.38,19.125,1,1.4,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deer Lake","9/14/2009","2009","Killingworth",41.3436,72.5887,"CT","CAES","N",12.95,2.188,2.3,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,2,0.017,0.008,2,5.8,0.1,2,65.6,0.3,1,7.8,NA,1,20.8,NA,2,21.4,1.1,1,1.3,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
"Deer Lake Reservoir","9/14/2009","2009","Killingworth",41.3412,72.5922,"CT","CAES","N",2.43,1.313,5,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,2,0.017,0.008,2,5.8,0.1,2,65.6,0.3,1,7.2,NA,1,23.6,NA,2,21.4,1.1,1,3.7,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"Diamond Lake","7/14/2006","2006","Glastonbury",41.6949,72.4823,"CT","CAES","N",8.09,1.339,4,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,2,0.011,0,2,6.45,0.15,2,67.5,0.5,1,7.8,NA,1,27.4,NA,2,5.65,0.35,1,2.5,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dividend Pond, Lower","6/20/2012","2012","Rocky Hill",41.6462,72.6326,"CT","CAES","N",0.53,1.58,1,"Y",0.0635,0.0635,0.0635,0.0635,0,0,1,0,0,0,0,0,0,0,3,1,2,2,0.0521,0.0231,2,7.55,0.05,2,355.5,5.5,1,7,NA,1,19.3,NA,2,69.75,0.75,1,1,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dividend Pond, Upper","6/20/2012","2012","Rocky Hill",41.6458,72.6343,"CT","CAES","N",2.35,1.608,1,"Y",0.0292,0.0292,0.0292,0.0292,0,0,1,0,0,0,0,0,0,0,7,1,6,2,0.1733,0.1084,2,7.4,0,2,331,1,1,9.5,NA,1,17.9,NA,2,69.4,0.4,1,0.9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
