"waterbody","date","year","town","latitude","longitude","state","data_source","mult_survey","surfacearea_ha","shoreline_development","depth_max_m","FP_presence","FPcover_avg","FPcover_low_est","FPcover_max","FPcover_min","azolla","eichhornia_crassipes","lemna_minor","lemna_trisulca","lemna_valdiviana","riccia","spirodela_polyrhiza","wolffia","wolffia_borealis","wolffia_brasiliensis","allplant_species_richness","FP_species_richness","nonFP_species_richness","TOTP_n","TOTP_avg","TOTP_SE","PH_n","PH_avg","PH_SE","COND_n","COND_avg","COND_SE","DO_n","DO_avg","DO_SE","TEMP_n","TEMP_avg","TEMP_SE","ALK_n","ALK_avg","ALK_SE","secchi_n","secchi_avg","secchi_SE","alisma","alisma_subcordatum","brasenia","cabomba","callitriche","callitriche_verna","callitriche_hetero","callitriche_stag","cardamine","ceratophyllum_dem","ceratophyllum_echin","charphyte","decodon","egeria","elatine","elatine_ameri","elatine_minima","elatine_triandra","eleocharis","eleocharis_acic","eleocharis_ellip","ellocharis_parv","elodea_canad","elodea_nutt","eriocaulon_aqua","fil_algae","glossostigma","gratiola","hydrilla","isoetes","isoetes_acad","isoetes_eaton","isoetes_echino","isoetes_engel","isoetes_lacus","isoetes_tuck","juncus","juncus_pelo","lobelia","ludwigia","ludwigia_dub","ludwigia_lac","ludwigia_pal","marsilea","megalodonta","myosotis","myriophyllum","myriophyllum_alt","myriophyllum_aqua","myriophyllum_hetero","myriophyllum_hetero_lax","myriophyllum_hum","myriophyllum_ten","myriophyllum_sibi","myriophyllum_spic","najas_flex","najas_grac","najas_guad","najas_minor","nasturtium","nelumbo","nuphar","nymphaea_odor","nymphaea_odor_odor","nymphaea_odor_tuber","nymphoides","nymphoides_cordata","nymphoides_pelt","peltandra","phragmites","polygonum","polygonum_amphi","polygonum_hydro","pontederia","potamogeton","potamogeton_ampli","potamogeton_berch","potamogeton_biculp","potamogeton_conferv","potamogeton_crispus","potamogeton_epi","potamogeton_foli","potamogeton_frie","potamogeton_grami","potamogeton_ilino","potamogeton_ilino_hybrid","potamogeton_natans","potamogeton_nodos","potamogeton_oakes","potamogeton_palus","potamogeton_perfo","potamogeton_pulch","potamogeton_pusil","potamogeton_prael","potamogeton_rich","potamogeton_robb","potamogeton_spir","potamogeton_vase","potamogeton_zost","proserpinaca","ranunculus","sagittaria","sagittaria_gram","sagittaria_lati","schoenoplectus","sparganium","sparganium_ameri","stuckenia","trapa","typha","typha_latif","sedge","utricularia","utricularia_gemi","utricularia_gibb","utricularia_inter","utricularia_macro","utricularia_mini","utricularia_mino","utricularia_purp","utricularia_radi","utricularia_subu","utricularia_vulg","vallisneria","zannichellia","zosterella"
"Doaneville Pond","7/7/2011","2011","Griswold",41.5639,71.8731,"CT","CAES","N",27.68,1.559,2,"Y",2e-04,2e-04,2e-04,2e-04,0,0,1,0,0,0,1,1,0,0,21,3,18,2,0.0515,0.0015,2,6.05,0.05,2,58.1,3.4,1,6,NA,1,25.3,NA,2,6.7,0,1,1,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Dog Pond","8/5/2005","2005","Goshen",41.8135,73.2388,"CT","CAES","N",26.63,1.238,3.353,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,2,0.043,0.037,2,6.9,0.5,2,145,8,NA,NA,NA,NA,NA,NA,2,49.88,3.375,1,2.5,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunlop Pond (Unnamed Lake with Dam #3036)","9/1/2005","2005","Darien",41.0792,73.4607,"CT","CAES","N",2.99,1.435,4,"Y",0.1859,0.2478,0.2478,0.1239,0,0,1,0,0,0,0,0,0,1,6,2,4,2,0.0975,0.0095,2,6.6,0.2,2,487.5,112.5,1,5.5,NA,1,27.5,NA,2,73.5,16.5,1,1.4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Eagleville Lake ","9/25/2012","2012","Coventry",41.7861,72.282,"CT","CAES","N",32.21,2.992,2.5,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,NA,NA,NA,2,6.35,0.05,2,137.5,14.5,1,8.9,NA,1,16.9,NA,1,13.13,NA,1,2.1,NA,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Echo Lake","9/7/2005","2005","Watertown",41.6014,73.0978,"CT","CAES","N",4.33,1.406,2,"Y",0.008,0.008,0.008,0.008,0,0,1,0,0,0,0,0,0,0,6,1,5,2,0.048,0.005,2,6.45,0.05,2,193.5,1.5,1,6.3,NA,1,24.1,NA,2,26.25,0.75,1,1.2,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elise Lake","7/12/2011","2011","Middlebury",41.5232,73.141,"CT","CAES","N",6.27,1.548,2,"Y",0.0017,0.0017,0.0017,0.0017,0,0,1,0,0,0,1,0,0,0,15,2,13,2,0.055,0.021,2,6.75,0.55,2,173,1,1,10.3,NA,1,29.2,NA,2,18.8,3,1,1.2,NA,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Fall Mountain Lake","9/15/2009","2009","Terryville",41.6486,72.9893,"CT","CAES","N",12.14,1.596,1.7,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,2,0.012,0.001,2,6.65,0.05,2,183,5,1,9,NA,1,22.2,NA,2,24.05,2.25,1,1.7,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Farm Brook Reservoir","6/26/2012","2012","Hamden",41.3962,72.9427,"CT","CAES","N",6.07,1.194,2,"Y",0.0016,0.0016,0.0016,0.0016,0,0,1,0,0,0,0,0,0,0,8,1,7,2,0.1647,0.0762,2,7.55,0.55,2,51,2,1,13,NA,1,23.3,NA,2,13.5,0.75,1,0.3,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fence Rock Lake","combined","comb","Guilford",41.3192,72.6727,"CT","CAES","Y",6.84,1.412,5,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,4,0.0295,0.0152,5,6.28,0.2268,5,75.06,6.9094,5,8.14,0.3012,5,26.14,1.7423,5,14.395,4.2286,5,2.28,0.1387,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Forest Lake","9/13/2007","2007","Bridgeport",41.22,73.2066,"CT","CAES","N",26.71,2.158,6,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0.016,0.007,2,6.6,0.1,2,143,9,1,4.9,NA,1,24,NA,2,17.25,6.75,1,1.8,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gables Pond","8/3/2009","2009","Farmington",41.7418,72.8414,"CT","CAES","N",5.58,1.622,3,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,2,0.014,0.001,2,7.1,0.7,2,183,8,1,7.9,NA,1,26.5,NA,2,45.05,2.25,1,2.6,NA,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gardner Lake","7/24/2006","2006","Bozrah, Montville, Salem",41.5087,72.2228,"CT","CAES","N",214.08,1.636,11.887,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,2,0.011,0.004,2,6.1,0.1,2,78.95,3.75,1,8,NA,1,27.4,NA,2,9.75,2.25,1,2,NA,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gladstone Pond","8/10/2006","2006","Killingworth",41.3923,72.5438,"CT","CAES","N",0.32,1.319,2.5,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0.0695,0.0105,2,5.75,0.25,2,76,30,1,8.7,NA,1,26.4,NA,2,15,12,1,0.8,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Graniss Lake","8/23/2011","2011","East Haven",41.3049,72.8555,"CT","CAES","Y",7.89,1.321,3,"Y",0.0024,0.0024,0.0024,0.0024,0,0,1,0,0,0,0,0,0,0,18,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Great Hill Pond","8/11/2006","2006","Portland",41.5739,72.5629,"CT","CAES","N",30.76,1.372,2.743,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,2,0.002,0.001,2,6.15,0.05,2,52,0.8,1,7.4,NA,1,27,NA,2,8.85,1.15,1,2.4,NA,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
"Green Falls Reservoir","8/2/2005","2005","Voluntown",41.5301,71.8091,"CT","CAES","N",19.51,1.897,7.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,2,0.003,0,2,5,0,2,20.05,0.65,1,6.1,NA,1,31.4,NA,2,0.75,0,1,5.6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Halls Pond, Ashford","8/1/2005","2005","Eastford",41.8402,72.1091,"CT","CAES","N",33.18,1.638,4.267,"Y",8e-04,8e-04,8e-04,8e-04,0,0,0,0,0,0,1,0,0,0,19,1,18,2,0.007,0.004,2,6.05,0.25,2,44.05,0.45,1,7,NA,1,26.7,NA,2,7.5,1.5,1,3,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Hamlin Pond","8/24/2005","2005","Plainville",41.6706,72.8475,"CT","CAES","N",4.86,1.213,4,"Y",0.0058,0.0058,0.0058,0.0058,0,0,1,0,0,0,0,0,0,1,8,2,6,2,0.0895,0.0485,2,6.7,0.3,2,262.5,17.5,1,10.4,NA,1,24.3,NA,2,72.38,1.125,1,1.2,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hatch Pond","6/14/2012","2012","Kent ",41.6836,73.4778,"CT","CAES","N",26.71,1.491,4,"Y",0.1725,0.1725,0.1725,0.1725,0,0,0,1,0,0,1,1,0,0,15,3,12,2,0.1574,0.1325,2,7.3,0.3,2,257,25,1,8.3,NA,1,22.9,NA,2,112.15,18.35,1,2,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hayward Lake","combined","comb","East Haddam",41.5188,72.3273,"CT","CAES","Y",69.61,1.996,10.668,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,2,0.0138,2e-04,2,6.1,0.1,2,103.5,14,2,7.25,0.55,2,26,2.1,2,11.44,0.19,2,2.35,0.15,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0
"Held Pond","7/1/2011","2011","Weston",41.1809,73.3718,"CT","CAES","N",12.71,1.315,13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,2,0.0165,0.0075,2,7.4,1.1,2,205,10,1,8.3,NA,1,27.3,NA,2,35.65,1.15,1,2.5,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hidden Lake","7/11/2005","2005","Higganum",41.421,72.571,"CT","CAES","N",15.78,1.728,2,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,2,0.0185,0.0045,2,5.65,0.05,2,75.8,3.4,1,7.2,NA,1,28,NA,2,6.75,0.75,1,1.9,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0
"Higby Reservor #1","9/22/2010","2010","Middletown",41.5469,72.7223,"CT","CAES","N",24.73,1.659,6,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,2,0.0145,5e-04,2,7.4,0.1,2,102.5,2.5,1,9,NA,1,20,NA,2,19.55,0.75,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Higby Reservor #2","9/22/2010","2010","Middletown",41.544,72.7208,"CT","CAES","N",7.28,1.514,2,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0.0415,0.0015,2,7.1,0.1,2,156,3,1,8.7,NA,1,20.9,NA,2,29.65,0.35,1,0.8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Higby Reservor #3","9/24/2010","2010","Middletown",41.5378,72.7226,"CT","CAES","N",17.12,1.341,1.8,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0.044,0.011,2,7.1,0.1,2,154,1,1,7,NA,1,22.8,NA,2,32.25,0.75,1,1.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Higby Reservor #4","9/24/2010","2010","Middletown",41.5527,72.729,"CT","CAES","N",11.29,1.964,4,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0.004,0,2,6.85,0.05,2,44,1,1,7.7,NA,1,21.4,NA,2,14.35,1.45,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horse Pond","8/4/2005","2005","Salem",41.462,72.2507,"CT","CAES","N",5.34,1.251,5.1,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,2,0.03,0.023,2,6,0.2,2,81,14,1,7.2,NA,1,29.6,NA,2,11.63,3.375,1,2.6,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
"Horseshoe Pond","6/21/2013","2013","Wilton",41.1823,73.4265,"CT","CAES","N",2.23,1.359,1,"Y",0.024,0.024,0.024,0.024,0,0,1,1,0,0,1,0,0,0,11,3,8,2,0.05405,0.00125,2,6.45,0.05,2,394.5,0.5,1,2.2,NA,1,21.3,NA,2,34.9,1.1,1,0.8,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Hospital Reservoir #3","9/30/2009","2009","Middletown",41.5443,72.6045,"CT","CAES","N",2.39,1.324,5.5,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,2,0.006,0,2,6.4,0.3,2,52.3,12.2,1,7.3,NA,1,19.6,NA,2,14.3,6,1,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"Housatonic Lake","7/12/2005","2005","Derby, Monroe, Oxford, Seymour, Shelton",41.3286,73.1093,"CT","CAES","N",132.74,4.132,7.925,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,2,0.02,0.005,2,7.25,0.05,2,238,6,1,8.3,NA,1,24.1,NA,2,85.5,0,1,2,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Howells Pond","8/12/2005","2005","Hartland",42.0222,72.9929,"CT","CAES","N",5.79,1.372,2.468,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,2,0.0375,0.0225,2,5.4,0.2,2,29.5,2.5,1,5.2,NA,1,30.2,NA,2,4.5,0.75,1,1.2,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
