waterbody,date,year,town,latitude,longitude,state,data_source,mult_survey,surfacearea_ha,shoreline_development,depth_max_m,FP_presence,FPcover_avg,FPcover_low_est,FPcover_max,FPcover_min,azolla,eichhornia_crassipes,lemna_minor,lemna_trisulca,lemna_valdiviana,riccia,spirodela_polyrhiza,wolffia,wolffia_borealis,wolffia_brasiliensis,allplant_species_richness,FP_species_richness,nonFP_species_richness,TOTP_avg,PH_avg,COND_avg,ALK_avg,secchi_avg,alisma,alisma_subcordatum,brasenia,cabomba,callitriche,callitriche_hetero,callitriche_stag,cardamine,ceratophyllum_dem,ceratophyllum_echin,charphyte,decodon,egeria,elatine,elatine_ameri,elatine_minima,eleocharis,eleocharis_acic,eleocharis_ellip,elodea_canad,elodea_nutt,eriocaulon_aqua,fil_algae,glossostigma,gratiola,hydrilla,isoetes,isoetes_acad,isoetes_eaton,isoetes_echino,isoetes_engel,isoetes_lacus,isoetes_tuck,juncus,juncus_pelo,lobelia,ludwigia,ludwigia_pal,marsilea,megalodonta,myosotis,myriophyllum,myriophyllum_alt,myriophyllum_aqua,myriophyllum_hetero,myriophyllum_hetero_lax,myriophyllum_hum,myriophyllum_ten,myriophyllum_sibi,myriophyllum_spic,najas_flex,najas_grac,najas_guad,najas_minor,nasturtium,nelumbo,nuphar,nymphaea_odor,nymphaea_odor_tuber,nymphoides,nymphoides_cordata,peltandra,phragmites,polygonum,polygonum_amphi,polygonum_hydro,pontederia,potamogeton,potamogeton_ampli,potamogeton_berch,potamogeton_biculp,potamogeton_conferv,potamogeton_crispus,potamogeton_epi,potamogeton_foli,potamogeton_grami,potamogeton_ilino,potamogeton_ilino_hybrid,potamogeton_natans,potamogeton_nodos,potamogeton_oakes,potamogeton_obtus,potamogeton_palus,potamogeton_perfo,potamogeton_pulch,potamogeton_pusil,potamogeton_prael,potamogeton_rich,potamogeton_robb,potamogeton_spir,potamogeton_zost,proserpinaca,ranunculus,sagittaria,sagittaria_gram,sagittaria_lati,schoenoplectus,sparganium,sparganium_ameri,stuckenia,trapa,typha,typha_latif,sedge,utricularia,utricularia_gemi,utricularia_gibb,utricularia_inter,utricularia_macro,utricularia_mini,utricularia_mino,utricularia_purp,utricularia_radi,utricularia_subu,utricularia_vulg,vallisneria,zannichellia,zosterella,waterbodies_1km,waterbodies_5km ,waterbodies_10km,nearest_LM,nearest_SP,nearest_W,nearest_any_FP,boatlaunch,dist_waterfowl
4H Camp Pond,7/23/2009,2009,Marlborough,41.5904,-72.42655,CT,CAES,N,0.36,1.04,3,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165,6.15,91.65,10.9,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,58,8438.540515,14377.45935,9735.288984,8438.540515,0,5989.321815
Alexander Lake,7/13/2005,2005,Killingly,41.86072,-71.89911,CT,CAES,N,87.01,1.822,15.545,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0.028,5.7,30.25,5.25,5.8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,74,5305.1191,5305.1191,5305.1191,5305.1191,0,43245.68589
Amos Lake,combined,comb,Preston,41.51468,-71.97423,CT,CAES,Y,45.73,1.707,14,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0.0222,6.73,116.5,40.1,1.65,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,15,59,7605.580734,10061.48368,7605.580734,7605.580734,1,6579.873364
Amston Lake,8/22/2006,2006,"Hebron, Lebanon, Colchester",41.62651,-72.33073,CT,CAES,N,75.68,1.777,7.925,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0.053,6.7,67.85,13.85,3.5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,56,14587.76748,18302.97064,15023.25871,14587.76748,0,1167.600837
Anderson Pond,8/24/2012,2012,North Stonington,41.50827,-71.89536,CT,CAES,Y,22.91,1.924,2.286,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0.0998,6.15,59.5,9.8,1.3,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,8,46,6457.104715,6457.104715,6457.104715,6457.104715,1,12563.50196
Andover Lake,8/14/2008,2008,Andover,41.72207,-72.3592,CT,CAES,N,63.54,1.619,3,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0.013,6.3,76.65,13.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,14,53,10761.64253,10761.64253,10761.64253,10761.64253,0,9806.019528
Angus Park Pond,8/4/2005,2005,Glastonbury,41.69298,-72.53177,CT,CAES,N,3.8,1.573,1.2,Y,0.1857,0.2616,0.2616,0.1099,0,0,1,0,0,0,1,0,0,0,12,2,10,0.039,6.2,126.5,30.75,1.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,63,7050.745821,12423.99217,12423.99217,7050.745821,0,6491.334236
Anni's Pond (Kleman's Dam),6/20/2011,2011,Bethany,41.44757,-72.99517,CT,CAES,N,2.19,1.293,3.5,Y,0.0014,0.0014,0.0014,0.0014,0,0,1,0,0,0,0,0,0,0,19,1,18,0.0195,5.95,129.5,131.25,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,17,73,7233.872182,12417.05334,18503.43877,7233.872182,0,12827.88084
Ashford Lake,7/12/2006,2006,Ashford,41.9005,-72.12765,CT,CAES,N,21.45,1.421,3.658,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0.0075,6.2,93,6,1.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,25,109,20810.37517,6875.878692,24780.91222,6875.878692,0,28084.38966
Avery Pond,9/30/2005,2005,Preston,41.49308,-71.97971,CT,CAES,N,10.4,1.164,2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.084,5.8,114,27.25,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,59,6153.888261,11883.38846,9226.630135,6153.888261,1,5326.625127
Ball Pond,8/17/2005,2005,New Fairfield,41.46259,-73.52383,CT,CAES,N,33.39,1.449,15.545,Y,0.005,0.005,0.005,0.005,0,0,1,0,0,0,0,0,0,0,10,1,9,0.1845,6.95,262.5,58.13,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,76,13626.98613,17076.81101,24837.89713,13626.98613,1,35452.46656
Bantam Pond (Timber Lake),9/27/2005,2005,Torrington,41.79429,-73.19495,CT,CAES,N,10,1.687,2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0.0565,6.8,144,56.25,1.4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,61,22899.49188,23608.52616,23784.28921,22899.49188,0,8660.6689
Basserman Pond,6/25/2009,2009,Branford,41.285147,-72.764493,CT,CAES,N,0.04,1.385,3,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0295,6.35,223.5,69.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,57,1876.487538,1876.487538,1876.487538,1876.487538,0,1621.026088
Beach Pond,7/31/2008,2008,"Voluntown, Exeter, RI",41.57596,-71.78904,CT,CAES,N,150.54,1.886,14.5,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0.0125,5.6,42.4,1.75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,14,64,7139.153565,7139.153565,7139.153565,7139.153565,1,23446.74745
Beaver Dam Lake,7/22/2009,2009,Stratford ,41.25058,-73.14075,CT,CAES,N,23.39,1.935,12,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0.0165,6.6,245,32.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,24,97,6214.849998,12777.19583,10958.87522,6214.849998,0,6209.15792
Beaver Pond,7/31/2013,2013,Meriden,41.56859,-72.78691,CT,CAES,N,12.23,1.362,3,Y,0.0024,0.0024,0.0024,0.0024,0,0,1,0,0,0,1,0,0,0,15,2,13,0.0476,7.5,318.5,89.25,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,26,100,7439.868154,1673.626023,1673.626023,1673.626023,0,8475.794768
Beseck Lake,6/28/2011,2011,Middletown,41.51539,-72.73139,CT,CAES,Y,48.36,1.621,7.315,Y,4.00E-04,4.00E-04,4.00E-04,4.00E-04,0,0,1,0,0,0,0,1,0,0,19,2,17,0.0235,7.4,134,50.25,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,24,80,5213.668653,5213.668653,5213.668653,5213.668653,1,1838.829161
Bigelow Pond,7/14/2005,2005,Union,41.99266,-72.13085,CT,CAES,N,10.12,1.929,4.69,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0.0365,5.95,67.85,10.5,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,2,34,123,21110.70007,15623.41923,29209.24463,15623.41923,1,29545.32389
Billings Lake,9/22/2005,2005,North Stonington,41.50757,-71.87318,CT,CAES,N,39.42,1.797,10.058,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0.0035,5.75,38,4.88,5.4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,10,43,6261.215256,6261.215256,6261.215256,6261.215256,1,14369.07512
Birch Pond,9/1/2005,2005,Darien,41.09058,-73.46373,CT,CAES,Y,0.27,1.121,1,Y,0.1515,0.1987,0.1987,0.1043,0,0,1,0,0,0,0,0,0,0,1,1,0,0.3475,6.2,171,46.88,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,74,1292.648659,1558.016942,1292.648659,1292.648659,0,2603.220808
Bissonette Pond,8/28/2006,2006,Willington,41.9231,-72.21908,CT,CAES,N,19.63,1.496,2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0.033,6.75,80.55,13,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,35,104,12923.39368,12923.39368,1558.016942,12923.39368,0,20617.77224
Black Hall Pond,8/18/2005,2005,Old Lyme,41.34555,-72.29826,CT,CAES,N,5.1,1.282,4.9,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0.059,6,127.5,24,2.8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4,31,101,10873.80523,6513.931265,24571.92733,6513.931265,0,3963.002015
Black Pond (2),7/25/2005,2005,Woodstock,41.96955,-72.06934,CT,CAES,N,29.7,1.342,7.01,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0.0165,5.85,75.9,7.5,3.8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,4,42,107,23551.37221,10036.45,19810.77481,10036.45,1,33736.94737
Blissville Pond,9/30/2005,2005,Lisbon,41.56374,-72.03777,CT,CAES,N,11.9,2.077,1.7,Y,0.001,0.001,0.001,0.001,0,0,1,0,0,0,0,0,0,1,17,2,15,0.057,5.5,104.5,12.75,1.7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,22,56,13742.89031,13742.89031,23551.37221,13742.89031,0,8525.154576
"Bolton Lake, Lower",combined,comb,Bolton,41.80132,-72.433,CT,CAES,Y,70.82,1.387,6.096,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0.0133,5.9,103.9,10.325,3.1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,19,69,2244.150995,2244.150995,13742.89031,2244.150995,1,7095.186463
