waterbody,date,year,town,latitude,longitude,state,data_source,mult_survey,surfacearea_ha,shoreline_development,depth_max_m,FP_presence,FPcover_avg,FPcover_low_est,FPcover_max,FPcover_min,azolla,eichhornia_crassipes,lemna_minor,lemna_trisulca,lemna_valdiviana,riccia,spirodela_polyrhiza,wolffia,wolffia_borealis,wolffia_brasiliensis,allplant_species_richness,FP_species_richness,nonFP_species_richness,TOTP_avg,PH_avg,COND_avg,ALK_avg,secchi_avg,alisma,alisma_subcordatum,brasenia,cabomba,callitriche,callitriche_hetero,callitriche_stag,cardamine,ceratophyllum_dem,ceratophyllum_echin,charphyte,decodon,egeria,elatine,elatine_ameri,elatine_minima,eleocharis,eleocharis_acic,eleocharis_ellip,elodea_canad,elodea_nutt,eriocaulon_aqua,fil_algae,glossostigma,gratiola,hydrilla,isoetes,isoetes_acad,isoetes_eaton,isoetes_echino,isoetes_engel,isoetes_lacus,isoetes_tuck,juncus,juncus_pelo,lobelia,ludwigia,ludwigia_pal,marsilea,megalodonta,myosotis,myriophyllum,myriophyllum_alt,myriophyllum_aqua,myriophyllum_hetero,myriophyllum_hetero_lax,myriophyllum_hum,myriophyllum_ten,myriophyllum_sibi,myriophyllum_spic,najas_flex,najas_grac,najas_guad,najas_minor,nasturtium,nelumbo,nuphar,nymphaea_odor,nymphaea_odor_tuber,nymphoides,nymphoides_cordata,peltandra,phragmites,polygonum,polygonum_amphi,polygonum_hydro,pontederia,potamogeton,potamogeton_ampli,potamogeton_berch,potamogeton_biculp,potamogeton_conferv,potamogeton_crispus,potamogeton_epi,potamogeton_foli,potamogeton_grami,potamogeton_ilino,potamogeton_ilino_hybrid,potamogeton_natans,potamogeton_nodos,potamogeton_oakes,potamogeton_obtus,potamogeton_palus,potamogeton_perfo,potamogeton_pulch,potamogeton_pusil,potamogeton_prael,potamogeton_rich,potamogeton_robb,potamogeton_spir,potamogeton_zost,proserpinaca,ranunculus,sagittaria,sagittaria_gram,sagittaria_lati,schoenoplectus,sparganium,sparganium_ameri,stuckenia,trapa,typha,typha_latif,sedge,utricularia,utricularia_gemi,utricularia_gibb,utricularia_inter,utricularia_macro,utricularia_mini,utricularia_mino,utricularia_purp,utricularia_radi,utricularia_subu,utricularia_vulg,vallisneria,zannichellia,zosterella,waterbodies_1km,waterbodies_5km ,waterbodies_10km,nearest_LM,nearest_SP,nearest_W,nearest_any_FP,boatlaunch,dist_waterfowl
Doaneville Pond,7/7/2011,2011,Griswold,41.56392,-71.87308,CT,CAES,N,27.68,1.559,2,Y,2.00E-04,2.00E-04,2.00E-04,2.00E-04,0,0,1,0,0,0,1,1,0,0,21,3,18,0.0515,6.05,58.1,6.7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,16,45,13742.89031,29796.33814,13708.37326,13742.89031,0,16626.98644
Dog Pond,8/5/2005,2005,Goshen,41.81353,-73.2388,CT,CAES,N,26.63,1.238,3.353,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0.043,6.9,145,49.88,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,59,26321.33434,24212.28151,13742.89031,24212.28151,1,10814.148
Dunlop Pond (Unnamed Lake with Dam #3036),9/1/2005,2005,Darien,41.07916,-73.46074,CT,CAES,N,2.99,1.435,4,Y,0.1859,0.2478,0.2478,0.1239,0,0,1,0,0,0,0,0,0,1,6,2,4,0.0975,6.6,487.5,73.5,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,25,65,964.595521,964.595521,24560.00929,964.595521,0,1508.8955
Echo Lake,9/7/2005,2005,Watertown,41.60138,-73.09778,CT,CAES,N,4.33,1.406,2,Y,0.008,0.008,0.008,0.008,0,0,1,0,0,0,0,0,0,0,6,1,5,0.048,6.45,193.5,26.25,1.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,65,9397.445707,9397.445707,964.595521,9397.445707,0,14618.86977
Elise Lake,7/12/2011,2011,Middlebury,41.52323,-73.14099,CT,CAES,N,6.27,1.548,2,Y,0.0017,0.0017,0.0017,0.0017,0,0,1,0,0,0,1,0,0,0,15,2,13,0.055,6.75,173,18.8,1.2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,66,3473.295575,20300.16915,19514.45959,3473.295575,0,14618.86977
Fall Mountain Lake,9/15/2009,2009,Terryville,41.64861,-72.98933,CT,CAES,N,12.14,1.596,1.7,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0.012,6.65,183,24.05,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,22,80,10448.98742,18809.23459,24756.75457,10448.98742,0,20220.28918
Farm Brook Reservoir,6/26/2012,2012,Hamden,41.39612,-72.9421,CT,CAES,N,6.07,1.194,2,Y,0.0016,0.0016,0.0016,0.0016,0,0,1,0,0,0,0,0,0,0,8,1,7,0.1647,7.55,51,13.5,0.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,79,5333.966457,10872.8909,11644.91821,5333.966457,0,20220.28918
Fence Rock Lake,combined,comb,Guilford,41.32004,-72.67371,CT,CAES,Y,6.84,1.412,5,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0.0295,6.28,75.06,14.395,2.28,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,26,68,3305.587858,3305.587858,15120.47284,3305.587858,0,19271.26641
Forest Lake,9/13/2007,2007,Bridgeport,41.21996,-73.20664,CT,CAES,N,26.71,2.158,6,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.016,6.6,143,17.25,1.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,101,2103.814566,13724.68969,4998.250719,2103.814566,0,6105.674549
Gables Pond,8/3/2009,2009,Farmington,41.74178,-72.84136,CT,CAES,N,5.58,1.622,3,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0.014,7.1,183,45.05,2.6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,28,73,7925.58208,8556.674756,13724.68969,7925.58208,0,4428.255183
Gardner Lake,7/24/2006,2006,"Bozrah, Montville, Salem",41.50874,-72.22279,CT,CAES,N,214.08,1.636,11.887,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0.011,6.1,78.95,9.75,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,75,15391.68562,14970.44574,7925.58208,14970.44574,1,7011.081112
Gladstone Pond,8/10/2006,2006,Killingworth,41.39102,-72.5576,CT,CAES,N,0.32,1.319,2.5,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0695,5.75,76,15,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,63,11637.22885,11637.22885,15391.68562,11637.22885,0,14928.69909
Great Hill Pond,8/11/2006,2006,Portland,41.57392,-72.56294,CT,CAES,N,30.76,1.372,2.743,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0.002,6.15,52,8.85,2.4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,17,64,9932.63384,13477.71523,12071.14009,9932.63384,0,11634.78358
Green Falls Reservoir,8/2/2005,2005,Voluntown,41.53006,-71.80907,CT,CAES,N,19.51,1.897,7.92,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0.003,5,20.05,0.75,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15,49,6534.872833,6534.872833,15155.76688,6534.872833,1,9151.73163
"Halls Pond, Ashford",8/1/2005,2005,Eastford,41.84019,-72.10908,CT,CAES,N,33.18,1.638,4.267,Y,8.00E-04,8.00E-04,8.00E-04,8.00E-04,0,0,0,0,0,0,1,0,0,0,19,1,18,0.007,6.05,44.05,7.5,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,27,96,22532.06912,17990.32938,6534.872833,17990.32938,1,2314.528946
Hamlin Pond,8/24/2005,2005,Plainville,41.67057,-72.8475,CT,CAES,N,4.86,1.213,4,Y,0.0058,0.0058,0.0058,0.0058,0,0,1,0,0,0,0,0,0,1,8,2,6,0.0895,6.7,262.5,72.38,1.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,103,7656.66375,11880.8287,22532.06912,7656.66375,0,19020.43451
Hart Pond,9/27/2013,2013,Litchfield,41.78589,-73.30021,CT,CAES,N,10.93,1.184,1.5,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0.0924,7.05,99.5,27.375,1.7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,13,48,26528.65086,18633.61181,7656.66375,18633.61181,0,30353.99023
Hatch Pond,6/14/2012,2012,Kent ,41.68358,-73.47777,CT,CAES,N,26.71,1.491,4,Y,0.1725,0.1725,0.1725,0.1725,0,0,0,1,0,0,1,1,0,0,15,3,12,0.1574,7.3,257,112.15,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,46,24837.89713,26100.17401,18633.61181,24837.89713,1,15948.80364
Hayward Lake,combined,comb,East Haddam,41.51878,-72.32729,CT,CAES,Y,69.61,1.996,10.668,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0.0138,6.1,103.5,11.44,2.35,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,25,74,6855.123914,18001.88783,49618.52474,6855.123914,1,9942.441798
Held Pond,7/1/2011,2011,Weston,41.18087,-73.37183,CT,CAES,N,12.71,1.315,13,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0.0165,7.4,205,35.65,2.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,93,1775.461619,1775.461619,6855.123914,1775.461619,0,20398.04775
Hidden Lake,7/11/2005,2005,Higganum,41.42103,-72.57104,CT,CAES,N,15.78,1.728,2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0.0185,5.65,75.8,6.75,1.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,2,15,58,10912.39894,10912.39894,1775.461619,10912.39894,0,10960.63471
Higby Reservor #1,9/22/2010,2010,Middletown,41.54686,-72.72233,CT,CAES,N,24.73,1.659,6,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0.0145,7.4,102.5,19.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,28,94,3576.191961,5556.85266,14724.85143,3576.191961,0,10960.63471
Higby Reservor #2,9/22/2010,2010,Middletown,41.54399,-72.72083,CT,CAES,N,7.28,1.514,2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0415,7.1,156,29.65,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,90,3296.572535,5861.500901,3576.191961,3296.572535,0,6989.946153
Higby Reservor #3,9/24/2010,2010,Middletown,41.53777,-72.72257,CT,CAES,N,17.12,1.341,1.8,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.044,7.1,154,32.25,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,88,2592.440349,6247.36718,3296.572535,2592.440349,0,9016.386654
Higby Reservor #4,9/24/2010,2010,Middletown,41.55274,-72.72902,CT,CAES,N,11.29,1.964,4,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.004,6.85,44,14.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,101,4153.133106,4709.932253,2592.440349,4153.133106,0,2928.593841
Horse Pond,8/4/2005,2005,Salem,41.46175,-72.25084,CT,CAES,N,5.34,1.251,5.1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0.03,6,81,11.63,2.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,4,21,70,13863.59232,9887.684656,4153.133106,9887.684656,1,2594.525948
Horseshoe Pond,6/21/2013,2013,Wilton,41.18232,-73.42648,CT,CAES,N,2.23,1.359,1,Y,0.024,0.024,0.024,0.024,0,0,1,1,0,0,1,0,0,0,11,3,8,0.05405,6.45,394.5,34.9,0.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,22,103,5311.643617,5311.643617,13863.59232,5311.643617,0,2163.966715
Hospital Reservoir #3,9/30/2009,2009,Middletown,41.54433,-72.60446,CT,CAES,N,2.39,1.324,5.5,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0.006,6.4,52.3,14.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,19,66,11070.91617,14583.83397,5417.906336,11070.91617,0,3681.719179
Housatonic Lake,7/12/2005,2005,"Derby, Monroe, Oxford, Seymour, Shelton",41.32818,-73.10852,CT,CAES,N,132.74,4.132,7.925,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0.02,7.25,238,85.5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,33,113,1007.579611,5026.049628,11070.91617,1007.579611,1,11146.81991
Howells Pond,8/12/2005,2005,Hartland,42.02222,-72.99288,CT,CAES,N,5.79,1.372,2.468,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0.0375,5.4,29.5,4.5,1.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,18,45,22692.24041,22692.24041,11935.99447,22692.24041,1,9277.620921
